Lab 10 - Part 2 Bowen ratio method,,,,,,,,,,,,,,
Data taken from Rosie's Whistler case study,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Early morning data:,,,,,,,,,,,,,,
Date,Time (PST),Net radiation (W/m^2),2-m temperature  (degC),2-m relative humidity (%),10-m temperature (degC),10-m relative humidity (%),Pressure (kPa),,,,,,,
22-Feb-10,06:00:10,35.7,-2.3,71.6,0.0,60.3,86.6,,,,,,,
22-Feb-10,06:00:20,35.8,-2.4,71.1,0.0,60.3,86.6,,,,,,,
22-Feb-10,06:00:30,35.8,-2.4,70.8,0.0,60.3,86.6,,,,,,,
22-Feb-10,06:00:40,35.8,-2.5,70.9,0.0,60.4,86.6,,,,,,,
22-Feb-10,06:00:50,35.6,-2.6,71.4,0.0,60.3,86.6,,,,,,,
22-Feb-10,06:01:00,35.6,-2.6,71.9,0.0,60.4,86.6,,,,,,,
22-Feb-10,06:01:10,35.6,-2.6,72.5,0.0,60.3,86.6,,,,,,,
22-Feb-10,06:01:20,35.6,-2.6,72.9,0.0,60.2,86.6,,,,,,,
22-Feb-10,06:01:30,35.5,-2.7,73.3,0.0,60.2,86.6,,,,,,,
22-Feb-10,06:01:40,35.4,-2.6,73.1,0.0,60.1,86.6,,,,,,,
22-Feb-10,06:01:50,35.2,-2.6,72.8,0.0,60.2,86.6,,,,,,,
22-Feb-10,06:02:00,35.2,-2.7,72.8,0.0,60.1,86.6,,,,,,,
22-Feb-10,06:02:10,35.2,-2.7,73.1,0.0,60.1,86.6,,,,,,,
22-Feb-10,06:02:20,34.6,-2.7,73.1,0.0,60.1,86.6,,,,,,,
22-Feb-10,06:02:30,34.7,-2.7,73.2,0.0,60.1,86.6,,,,,,,
22-Feb-10,06:02:40,34.8,-2.7,73.2,0.0,60.1,86.6,,,,,,,
22-Feb-10,06:02:50,34.9,-2.8,72.8,0.0,60.2,86.6,,,,,,,
22-Feb-10,06:03:00,34.9,-2.8,72.6,0.0,60.3,86.6,,,,,,,
22-Feb-10,06:03:10,34.8,-2.8,72.7,0.0,60.4,86.6,,,,,,,
22-Feb-10,06:03:20,34.8,-2.8,73.3,0.0,60.4,86.6,,,,,,,
22-Feb-10,06:03:30,34.9,-2.8,73.7,0.0,60.4,86.6,,,,,,,
22-Feb-10,06:03:40,34.9,-2.8,73.6,0.0,60.5,86.6,,,,,,,
22-Feb-10,06:03:50,34.8,-2.8,73.6,-0.1,60.5,86.6,,,,,,,
22-Feb-10,06:04:00,34.8,-2.8,73.6,-0.1,60.5,86.6,,,,,,,
22-Feb-10,06:04:10,34.8,-2.8,73.8,-0.1,60.5,86.6,,,,,,,
22-Feb-10,06:04:20,34.8,-2.8,73.8,-0.1,60.6,86.6,,,,,,,
22-Feb-10,06:04:30,34.9,-2.8,74.1,-0.1,60.6,86.6,,,,,,,
22-Feb-10,06:04:40,34.8,-2.8,74.2,-0.1,60.7,86.6,,,,,,,
22-Feb-10,06:04:50,34.9,-2.8,74.1,-0.1,60.7,86.6,,,,,,,
22-Feb-10,06:05:00,35.0,-2.8,73.6,-0.1,60.7,86.6,,,,,,,
22-Feb-10,06:05:10,35.1,-2.8,73.2,-0.1,60.7,86.6,,,,,,,
22-Feb-10,06:05:20,35.2,-2.8,73.2,-0.1,60.7,86.6,,,,,,,
22-Feb-10,06:05:30,35.2,-2.9,73.4,-0.1,60.7,86.6,,,,,,,
22-Feb-10,06:05:40,35.3,-2.9,73.2,-0.1,60.8,86.6,,,,,,,
22-Feb-10,06:05:50,35.2,-2.9,73.4,-0.1,60.8,86.6,,,,,,,
22-Feb-10,06:06:00,35.2,-2.9,73.8,-0.1,60.8,86.6,,,,,,,
22-Feb-10,06:06:10,35.3,-3.0,73.8,-0.1,60.9,86.6,,,,,,,
22-Feb-10,06:06:20,35.4,-3.0,73.8,-0.1,60.9,86.6,,,,,,,
22-Feb-10,06:06:30,35.3,-3.0,73.8,-0.1,61.0,86.6,,,,,,,
22-Feb-10,06:06:40,35.4,-3.0,73.8,-0.1,61.0,86.6,,,,,,,
22-Feb-10,06:06:50,35.4,-3.0,73.7,-0.1,61.0,86.6,,,,,,,
22-Feb-10,06:07:00,35.5,-3.0,73.5,-0.1,61.0,86.6,,,,,,,
22-Feb-10,06:07:10,35.5,-3.0,73.5,-0.1,61.1,86.6,,,,,,,
22-Feb-10,06:07:20,35.5,-3.0,73.6,-0.1,61.1,86.6,,,,,,,
22-Feb-10,06:07:30,35.1,-3.0,73.4,-0.1,61.2,86.6,,,,,,,
22-Feb-10,06:07:40,35.1,-3.1,73.2,-0.1,61.2,86.6,,,,,,,
22-Feb-10,06:07:50,35.1,-3.1,73.2,-0.1,61.2,86.6,,,,,,,
22-Feb-10,06:08:00,35.1,-3.1,73.4,-0.1,61.2,86.6,,,,,,,
22-Feb-10,06:08:10,35.1,-3.2,73.5,-0.2,61.2,86.6,,,,,,,
22-Feb-10,06:08:20,35.2,-3.2,73.6,-0.2,61.2,86.6,,,,,,,
22-Feb-10,06:08:30,35.1,-3.2,74.0,-0.2,61.3,86.6,,,,,,,
22-Feb-10,06:08:40,35.1,-3.2,74.1,-0.2,61.3,86.6,,,,,,,
22-Feb-10,06:08:50,35.2,-3.2,74.2,-0.2,61.4,86.6,,,,,,,
22-Feb-10,06:09:00,35.2,-3.2,74.3,-0.2,61.4,86.6,,,,,,,
22-Feb-10,06:09:10,35.2,-3.2,74.5,-0.2,61.5,86.6,,,,,,,
22-Feb-10,06:09:20,35.2,-3.3,74.4,-0.2,61.5,86.6,,,,,,,
22-Feb-10,06:09:30,35.2,-3.2,74.7,-0.2,61.6,86.6,,,,,,,
22-Feb-10,06:09:40,35.2,-3.2,74.8,-0.2,61.6,86.6,,,,,,,
22-Feb-10,06:09:50,35.1,-3.2,75.0,-0.2,61.5,86.6,,,,,,,
22-Feb-10,06:10:00,35.0,-3.2,74.8,-0.2,61.5,86.6,,,,,,,
22-Feb-10,06:10:10,35.0,-3.2,74.2,-0.2,61.5,86.6,,,,,,,
22-Feb-10,06:10:20,34.9,-3.2,73.8,-0.3,61.6,86.6,,,,,,,
22-Feb-10,06:10:30,35.0,-3.2,73.6,-0.3,61.6,86.6,,,,,,,
22-Feb-10,06:10:40,35.0,-3.3,73.6,-0.3,61.7,86.6,,,,,,,
22-Feb-10,06:10:50,34.9,-3.3,73.8,-0.3,61.7,86.6,,,,,,,
22-Feb-10,06:11:00,34.9,-3.3,73.9,-0.3,61.7,86.6,,,,,,,
22-Feb-10,06:11:10,34.9,-3.3,74.0,-0.3,61.7,86.6,,,,,,,
22-Feb-10,06:11:20,34.8,-3.4,74.2,-0.3,61.6,86.6,,,,,,,
22-Feb-10,06:11:30,34.9,-3.3,74.4,-0.3,61.5,86.6,,,,,,,
22-Feb-10,06:11:40,34.9,-3.4,74.5,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:11:50,34.9,-3.4,74.5,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:12:00,34.8,-3.4,74.6,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:12:10,34.8,-3.4,74.6,-0.3,61.5,86.6,,,,,,,
22-Feb-10,06:12:20,35.0,-3.4,74.7,-0.3,61.5,86.6,,,,,,,
22-Feb-10,06:12:30,35.1,-3.4,74.7,-0.3,61.8,86.6,,,,,,,
22-Feb-10,06:12:40,35.0,-3.4,74.6,-0.3,62.2,86.6,,,,,,,
22-Feb-10,06:12:50,35.2,-3.4,74.5,-0.3,62.3,86.6,,,,,,,
22-Feb-10,06:13:00,35.3,-3.4,74.5,-0.3,62.3,86.6,,,,,,,
22-Feb-10,06:13:10,35.3,-3.4,74.5,-0.3,62.3,86.6,,,,,,,
22-Feb-10,06:13:20,35.2,-3.4,74.4,-0.3,62.4,86.6,,,,,,,
22-Feb-10,06:13:30,35.2,-3.4,74.3,-0.3,62.3,86.6,,,,,,,
22-Feb-10,06:13:40,35.2,-3.3,74.3,-0.3,62.3,86.6,,,,,,,
22-Feb-10,06:13:50,35.3,-3.4,74.3,-0.3,62.3,86.6,,,,,,,
22-Feb-10,06:14:00,35.2,-3.4,74.3,-0.3,62.2,86.6,,,,,,,
22-Feb-10,06:14:10,35.2,-3.4,74.3,-0.3,62.1,86.6,,,,,,,
22-Feb-10,06:14:20,35.2,-3.4,74.3,-0.3,62.0,86.6,,,,,,,
22-Feb-10,06:14:30,35.2,-3.4,74.3,-0.3,62.0,86.6,,,,,,,
22-Feb-10,06:14:40,35.1,-3.4,74.3,-0.3,62.0,86.6,,,,,,,
22-Feb-10,06:14:50,35.2,-3.4,74.5,-0.3,61.9,86.6,,,,,,,
22-Feb-10,06:15:00,35.1,-3.5,74.5,-0.3,61.8,86.6,,,,,,,
22-Feb-10,06:15:10,35.3,-3.4,74.6,-0.3,61.7,86.6,,,,,,,
22-Feb-10,06:15:20,35.4,-3.5,74.7,-0.3,61.8,86.6,,,,,,,
22-Feb-10,06:15:30,35.3,-3.5,74.6,-0.3,61.8,86.6,,,,,,,
22-Feb-10,06:15:40,35.3,-3.5,74.4,-0.3,61.8,86.6,,,,,,,
22-Feb-10,06:15:50,35.3,-3.5,74.5,-0.3,61.7,86.6,,,,,,,
22-Feb-10,06:16:00,35.2,-3.5,74.6,-0.3,61.7,86.6,,,,,,,
22-Feb-10,06:16:10,35.3,-3.5,74.6,-0.3,61.6,86.6,,,,,,,
22-Feb-10,06:16:20,35.2,-3.5,74.7,-0.3,61.5,86.6,,,,,,,
22-Feb-10,06:16:30,35.2,-3.5,74.6,-0.3,61.5,86.6,,,,,,,
22-Feb-10,06:16:40,35.2,-3.5,74.8,-0.3,61.5,86.6,,,,,,,
22-Feb-10,06:16:50,35.1,-3.5,74.9,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:17:00,35.1,-3.5,74.9,-0.3,61.3,86.6,,,,,,,
22-Feb-10,06:17:10,35.1,-3.5,74.9,-0.3,61.3,86.6,,,,,,,
22-Feb-10,06:17:20,35.2,-3.5,74.9,-0.3,61.2,86.6,,,,,,,
22-Feb-10,06:17:30,35.3,-3.5,74.9,-0.3,61.3,86.6,,,,,,,
22-Feb-10,06:17:40,35.2,-3.5,74.9,-0.3,61.5,86.6,,,,,,,
22-Feb-10,06:17:50,35.3,-3.4,74.8,-0.3,61.5,86.6,,,,,,,
22-Feb-10,06:18:00,34.8,-3.4,74.7,-0.3,61.5,86.6,,,,,,,
22-Feb-10,06:18:10,35.0,-3.4,74.8,-0.3,61.5,86.6,,,,,,,
22-Feb-10,06:18:20,34.9,-3.4,74.8,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:18:30,34.8,-3.4,74.7,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:18:40,34.9,-3.4,74.6,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:18:50,35.0,-3.4,74.5,-0.3,61.3,86.6,,,,,,,
22-Feb-10,06:19:00,35.1,-3.4,74.3,-0.3,61.3,86.6,,,,,,,
22-Feb-10,06:19:10,35.0,-3.4,74.2,-0.3,61.2,86.6,,,,,,,
22-Feb-10,06:19:20,35.1,-3.4,74.1,-0.3,61.3,86.6,,,,,,,
22-Feb-10,06:19:30,35.3,-3.4,74.0,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:19:40,35.2,-3.4,73.9,-0.3,61.5,86.6,,,,,,,
22-Feb-10,06:19:50,35.1,-3.3,73.7,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:20:00,35.1,-3.3,73.7,-0.3,61.2,86.6,,,,,,,
22-Feb-10,06:20:10,35.0,-3.3,73.8,-0.3,61.1,86.6,,,,,,,
22-Feb-10,06:20:20,34.9,-3.3,74.1,-0.3,61.1,86.6,,,,,,,
22-Feb-10,06:20:30,34.8,-3.3,74.0,-0.3,61.1,86.6,,,,,,,
22-Feb-10,06:20:40,34.8,-3.2,73.7,-0.3,61.1,86.6,,,,,,,
22-Feb-10,06:20:50,34.8,-3.2,73.6,-0.3,61.1,86.6,,,,,,,
22-Feb-10,06:21:00,34.8,-3.2,73.5,-0.3,61.2,86.6,,,,,,,
22-Feb-10,06:21:10,34.8,-3.2,73.2,-0.3,61.2,86.6,,,,,,,
22-Feb-10,06:21:20,34.8,-3.2,73.0,-0.3,61.3,86.6,,,,,,,
22-Feb-10,06:21:30,34.8,-3.2,73.0,-0.3,61.3,86.6,,,,,,,
22-Feb-10,06:21:40,34.8,-3.2,73.0,-0.3,61.3,86.6,,,,,,,
22-Feb-10,06:21:50,34.8,-3.2,72.8,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:22:00,35.3,-3.1,72.5,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:22:10,34.9,-3.2,72.3,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:22:20,34.8,-3.1,72.3,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:22:30,34.7,-3.1,72.2,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:22:40,35.2,-3.1,72.2,-0.3,61.5,86.6,,,,,,,
22-Feb-10,06:22:50,35.2,-3.1,72.2,-0.3,61.5,86.6,,,,,,,
22-Feb-10,06:23:00,35.2,-3.1,72.0,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:23:10,35.2,-3.1,72.2,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:23:20,35.2,-3.1,72.3,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:23:30,35.3,-3.0,72.5,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:23:40,35.3,-3.0,72.4,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:23:50,35.3,-3.0,72.2,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:24:00,35.3,-3.0,72.0,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:24:10,35.4,-3.0,71.9,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:24:20,35.4,-3.0,71.8,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:24:30,35.3,-3.0,71.8,-0.3,61.5,86.6,,,,,,,
22-Feb-10,06:24:40,35.2,-3.0,71.8,-0.3,61.5,86.6,,,,,,,
22-Feb-10,06:24:50,35.2,-3.0,71.9,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:25:00,35.3,-3.0,71.9,-0.3,61.3,86.6,,,,,,,
22-Feb-10,06:25:10,35.3,-3.0,71.8,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:25:20,35.4,-2.9,71.8,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:25:30,35.4,-2.9,71.8,-0.3,61.3,86.6,,,,,,,
22-Feb-10,06:25:40,35.4,-2.9,71.7,-0.3,61.3,86.6,,,,,,,
22-Feb-10,06:25:50,35.4,-2.9,71.5,-0.3,61.3,86.6,,,,,,,
22-Feb-10,06:26:00,35.7,-2.8,71.4,-0.2,61.3,86.6,,,,,,,
22-Feb-10,06:26:10,35.7,-2.8,71.3,-0.3,61.5,86.6,,,,,,,
22-Feb-10,06:26:20,35.6,-2.8,71.4,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:26:30,35.5,-2.8,71.2,-0.3,61.4,86.6,,,,,,,
22-Feb-10,06:26:40,35.4,-2.8,70.9,-0.2,61.3,86.6,,,,,,,
22-Feb-10,06:26:50,35.4,-2.8,70.9,-0.3,61.2,86.6,,,,,,,
22-Feb-10,06:27:00,35.3,-2.8,70.7,-0.2,61.1,86.6,,,,,,,
22-Feb-10,06:27:10,35.4,-2.8,70.6,-0.2,61.1,86.6,,,,,,,
22-Feb-10,06:27:20,35.5,-2.8,70.6,-0.2,61.2,86.6,,,,,,,
22-Feb-10,06:27:30,35.5,-2.7,70.6,-0.2,61.2,86.6,,,,,,,
22-Feb-10,06:27:40,35.4,-2.7,70.6,-0.2,61.1,86.6,,,,,,,
22-Feb-10,06:27:50,35.3,-2.7,70.2,-0.2,61.1,86.6,,,,,,,
22-Feb-10,06:28:00,35.4,-2.7,70.0,-0.2,61.0,86.6,,,,,,,
22-Feb-10,06:28:10,35.3,-2.7,69.9,-0.2,61.0,86.6,,,,,,,
22-Feb-10,06:28:20,35.4,-2.7,69.8,-0.2,61.0,86.6,,,,,,,
22-Feb-10,06:28:30,35.3,-2.7,70.0,-0.2,60.9,86.6,,,,,,,
22-Feb-10,06:28:40,35.3,-2.7,70.2,-0.2,60.9,86.6,,,,,,,
22-Feb-10,06:28:50,35.3,-2.6,70.3,-0.2,60.9,86.6,,,,,,,
22-Feb-10,06:29:00,35.3,-2.6,70.2,-0.2,60.9,86.6,,,,,,,
22-Feb-10,06:29:10,35.3,-2.6,70.1,-0.2,60.8,86.6,,,,,,,
22-Feb-10,06:29:20,35.3,-2.6,70.3,-0.2,60.8,86.6,,,,,,,
22-Feb-10,06:29:30,35.3,-2.6,70.4,-0.2,60.8,86.6,,,,,,,
22-Feb-10,06:29:40,35.4,-2.5,70.3,-0.2,60.8,86.6,,,,,,,
22-Feb-10,06:29:50,35.4,-2.5,70.2,-0.2,60.9,86.6,,,,,,,
22-Feb-10,06:30:00,35.5,-2.5,70.1,-0.2,60.9,86.6,,,,,,,